ds,y
2014-11-24 00:00:00,112
2014-11-25 00:00:00,110
2014-11-26 00:00:00,111
2014-11-27 00:00:00,105
2014-11-28 00:00:00,96
2014-11-29 00:00:00,106
2014-11-30 00:00:00,99
2014-12-01 00:00:00,116
2014-12-02 00:00:00,105
2014-12-03 00:00:00,99
2014-12-04 00:00:00,104
2014-12-05 00:00:00,112
2014-12-06 00:00:00,102
2014-12-07 00:00:00,100
2014-12-08 00:00:00,111
2014-12-09 00:00:00,112
2014-12-10 00:00:00,104
2014-12-11 00:00:00,105
2014-12-12 00:00:00,113
2014-12-13 00:00:00,96
2014-12-14 00:00:00,97
2014-12-15 00:00:00,104
2014-12-16 00:00:00,110
2014-12-17 00:00:00,115
2014-12-18 00:00:00,127
2014-12-19 00:00:00,121
2014-12-20 00:00:00,112
2014-12-21 00:00:00,114
2014-12-22 00:00:00,104
2014-12-23 00:00:00,114
2014-12-24 00:00:00,112
2014-12-25 00:00:00,118
2014-12-26 00:00:00,107
2014-12-27 00:00:00,171
2014-12-28 00:00:00,132
2014-12-29 00:00:00,116
2014-12-30 00:00:00,121
2014-12-31 00:00:00,125
2015-01-01 00:00:00,114
2015-01-02 00:00:00,121
2015-01-03 00:00:00,119
2015-01-04 00:00:00,120
2015-01-05 00:00:00,112
2015-01-06 00:00:00,120
2015-01-07 00:00:00,125
2015-01-08 00:00:00,135
2015-01-09 00:00:00,131
2015-01-10 00:00:00,143
2015-01-11 00:00:00,114
2015-01-12 00:00:00,131
2015-01-13 00:00:00,125
2015-01-14 00:00:00,145
2015-01-15 00:00:00,115
2015-01-16 00:00:00,116
2015-01-17 00:00:00,118
2015-01-18 00:00:00,103
2015-01-19 00:00:00,120
2015-01-20 00:00:00,118
2015-01-21 00:00:00,127
2015-01-22 00:00:00,130
2015-01-23 00:00:00,145
2015-01-24 00:00:00,136
2015-01-25 00:00:00,122
2015-01-26 00:00:00,119
2015-01-27 00:00:00,133
2015-01-28 00:00:00,115
2015-01-29 00:00:00,147
2015-01-30 00:00:00,141
2015-01-31 00:00:00,125
2015-02-01 00:00:00,113
2015-02-02 00:00:00,144
2015-02-03 00:00:00,129
2015-02-04 00:00:00,143
2015-02-05 00:00:00,115
2015-02-06 00:00:00,125
2015-02-07 00:00:00,132
2015-02-08 00:00:00,133
2015-02-09 00:00:00,128
2015-02-10 00:00:00,139
2015-02-11 00:00:00,122
2015-02-12 00:00:00,132
2015-02-13 00:00:00,135
2015-02-14 00:00:00,139
2015-02-15 00:00:00,141
2015-02-16 00:00:00,123
2015-02-17 00:00:00,119
2015-02-18 00:00:00,148
2015-02-19 00:00:00,139
2015-02-20 00:00:00,128
2015-02-21 00:00:00,151
2015-02-22 00:00:00,137
